GEOID,NAME,year_,AreaBurned
49021,Iron,2006,0.0037939118617721637
49021,Iron,2007,0.006061732841864259
49021,Iron,2008,0.0002613773561418549
49021,Iron,2009,0.0021308030532743655
49021,Iron,2010,0.00013325550646842916
49021,Iron,2011,0.0018037283470554012
49021,Iron,2012,0.008733433716533408
49021,Iron,2016,0.0007491404026561321
49021,Iron,2017,0.022213936807681085
49021,Iron,2018,0.0026095602230201756
49021,Iron,2019,0.00788034766615389
49023,Juab,2001,0.001389621109785123
49023,Juab,2002,8.892821592915487e-05
49023,Juab,2003,0.00023807597337650426
49023,Juab,2004,0.0007547847930435718
49023,Juab,2005,0.0007726367449151786
49023,Juab,2006,0.0025529855167490704
49023,Juab,2007,0.007738061514967178
49023,Juab,2008,0.0002635621562741365
49023,Juab,2009,0.00010522508804096266
49023,Juab,2011,0.002053743703584002
49023,Juab,2012,0.015431502856885852
49023,Juab,2013,6.592313006698943e-06
49023,Juab,2014,0.0018408051419661743
49023,Juab,2016,0.0006057436676378125
49023,Juab,2017,1.044850664766405e-06
49023,Juab,2018,0.0005320579088289475
49023,Juab,2019,0.0020980024654252416
49025,Kane,2001,4.996780508223139e-05
49025,Kane,2002,0.0010120179582129214
49025,Kane,2004,0.000495657709578044
49025,Kane,2005,0.00010089628746049018
49025,Kane,2006,0.0007546445436274282
49025,Kane,2007,0.0016828787674981892
49025,Kane,2008,5.689679780689844e-06
49025,Kane,2010,4.687731710009451e-06
49025,Kane,2011,5.7139913363753306e-05
49025,Kane,2012,0.003335986270625992
49025,Kane,2018,0.0012911739931484904
49027,Millard,2000,0.0009587833097695544
49027,Millard,2001,0.0006220348988830555
49027,Millard,2002,8.082221198463414e-05
49027,Millard,2003,0.0005435390539138017
49027,Millard,2004,0.0002406290773475792
49027,Millard,2005,0.000361970683043799
49027,Millard,2006,0.03235649277094564
49027,Millard,2007,0.10036581907170027
49027,Millard,2008,0.00029170988327372637
49027,Millard,2009,0.003219577790653284
49027,Millard,2011,0.0004489863542117565
49027,Millard,2012,0.039093805727478864
49027,Millard,2013,0.00175292126259907
49027,Millard,2015,0.00020495378852910704
49027,Millard,2016,0.00237577330502177
49027,Millard,2018,0.0012052035883797485
49027,Millard,2019,0.002015624443408196
49031,Piute,2002,0.0006359166700948423
49031,Piute,2005,0.0007255043589843563
49031,Piute,2006,0.000611433080319784
49031,Piute,2010,0.006947913344060293
49031,Piute,2012,0.0006301256432533203
49031,Piute,2013,1.248467197684558e-05
49031,Piute,2017,9.467657036128445e-05
49033,Rich,2000,8.39382510465884e-05
49033,Rich,2001,6.629688567161591e-06
49033,Rich,2003,0.0003896147102863524
49033,Rich,2004,0.00011537511324489875
49033,Rich,2006,0.00017742353955346577
49033,Rich,2007,0.00030375076787596744
49033,Rich,2018,0.0037857330669175174
49035,Salt Lake,2001,0.0036557959503009207
49035,Salt Lake,2002,0.00016589116939245757
49035,Salt Lake,2008,0.00039079696626842053
49035,Salt Lake,2010,0.0010003274067511634
49035,Salt Lake,2011,3.446921276574831e-05
49035,Salt Lake,2012,0.0007198918181817793
49035,Salt Lake,2016,3.557355476624475e-06
49035,Salt Lake,2018,1.4344781390957647e-05
49037,San Juan,2002,0.0054194506634162795
49037,San Juan,2003,0.0012155408070634451
49037,San Juan,2004,2.1909110433142645e-05
49037,San Juan,2005,0.0002903791043159086
49037,San Juan,2006,0.0026794836789875366
49037,San Juan,2007,4.79266480489329e-05
49037,San Juan,2008,0.00012108398658823197
49037,San Juan,2009,0.0008539597388691501
49037,San Juan,2010,1.3204226939585706e-05
49037,San Juan,2011,2.5797737524270287e-05
49037,San Juan,2012,1.282828270878997e-05
49037,San Juan,2013,0.00046733710806177325
49037,San Juan,2014,5.3557413800934946e-05
49037,San Juan,2017,0.000292922593434044
49037,San Juan,2018,3.1728800397124316e-06
49037,San Juan,2019,0.0022742328933213077
49039,Sanpete,2001,0.00017014972823574704
49039,Sanpete,2002,0.00016954909810218316
49039,Sanpete,2004,0.0020185109008077403
49039,Sanpete,2005,0.0005713860183770872
49039,Sanpete,2006,0.0006889756704817244
49039,Sanpete,2007,0.008356764101415606
49039,Sanpete,2011,3.2797060264790223e-07
49039,Sanpete,2012,0.018606739922478705
49039,Sanpete,2016,0.0009346713919752839
49039,Sanpete,2018,0.0008884674325952665
49039,Sanpete,2019,0.000281987239568896
49041,Sevier,2002,0.0012850035365415775
49041,Sevier,2003,0.0012421921846027886
49041,Sevier,2004,0.0008078778953689331
49041,Sevier,2005,0.00021346174894294805
49041,Sevier,2006,0.0009773718981515853
49041,Sevier,2007,5.8168651458199e-06
49041,Sevier,2009,0.0010411255029714901
49041,Sevier,2010,0.00477648582355408
49041,Sevier,2012,0.0009781431517673592
49041,Sevier,2014,7.871371121563168e-05
49041,Sevier,2015,0.0010969624413737387
49041,Sevier,2016,0.001826118047432003
49041,Sevier,2018,0.002133156693129713
49041,Sevier,2019,8.204777425424205e-06
49043,Summit,2002,0.006144886741390399
49043,Summit,2013,0.0008279695301004573
49043,Summit,2016,0.0021209077920777693
49043,Summit,2018,0.0003365350808520631
49043,Summit,2019,1.993648794315186e-05
49045,Tooele,2000,4.4626790543922075e-05
49045,Tooele,2001,0.00697666339205168
49045,Tooele,2002,0.0016226354328358699
49045,Tooele,2003,0.0017940538058456167
49045,Tooele,2004,0.0018352528505064356
49045,Tooele,2005,0.014499870307974658
49045,Tooele,2006,0.008033369624102213
49045,Tooele,2007,0.031379793003599325
49045,Tooele,2008,0.0005593305680200769
49045,Tooele,2009,0.022628514119150327
49045,Tooele,2010,0.001527182809517697
49045,Tooele,2011,0.008169046683720897
49045,Tooele,2012,0.032965959212606595
49045,Tooele,2013,0.014095628423275644
49045,Tooele,2014,0.002858169662056956
49045,Tooele,2015,0.00031771249752059877
49045,Tooele,2016,0.0050458032325814885
49045,Tooele,2017,0.027993724395950124
49045,Tooele,2018,0.012880222047939864
49045,Tooele,2019,0.001721055990629691
49047,Uintah,2000,0.0021453994157881523
49047,Uintah,2001,0.00010003914430651966
49047,Uintah,2002,6.629075729424614e-05
49047,Uintah,2003,1.5131893736192047e-07
49047,Uintah,2004,0.0013114495344844635
49047,Uintah,2005,0.00022247583745407524
49047,Uintah,2006,0.00024904511526272106
49047,Uintah,2007,0.0059308488936988535
49047,Uintah,2008,0.0004304486420251408
49047,Uintah,2009,0.002014332851342176
49047,Uintah,2010,0.00047931488949617246
49047,Uintah,2012,0.008448311032412073
49047,Uintah,2014,0.0013535508323070402
49047,Uintah,2016,4.841494600453887e-05
49047,Uintah,2017,0.00031656518002822447
49047,Uintah,2018,0.00044867927153483775
49049,Utah,2001,0.006149206852491708
49049,Utah,2002,0.0010866854715199344
49049,Utah,2003,0.0036668847855816423
49049,Utah,2004,0.0011477747022633177
49049,Utah,2005,0.00227831193812846
49049,Utah,2006,0.003179366875420435
49049,Utah,2007,0.0073382296663362465
49049,Utah,2008,0.0004296185785221257
49049,Utah,2009,0.0008986665885284042
49049,Utah,2010,0.001704956133134381
49049,Utah,2011,0.001851330536320926
49049,Utah,2012,0.008752240226285598
49049,Utah,2013,0.00012667373433202433
49049,Utah,2015,6.015784007820695e-09
49049,Utah,2016,0.0022618666182700744
49049,Utah,2017,0.005924916989676114
49049,Utah,2018,0.06472553830526111
49049,Utah,2019,0.004258927421797953
49051,Wasatch,2001,0.0009126755109848864
49051,Wasatch,2003,0.0033657609034949665
49051,Wasatch,2005,0.00012512588030213798
49051,Wasatch,2008,0.0003656680975393425
49051,Wasatch,2011,0.000296735276898048
49051,Wasatch,2013,4.12291082970923e-06
49051,Wasatch,2014,8.646795911259403e-06
49051,Wasatch,2015,0.000274918581517441
49051,Wasatch,2016,0.00020856991754410344
49051,Wasatch,2017,7.354836597324449e-06
49051,Wasatch,2018,0.01833152379161291
49051,Wasatch,2019,8.703063564675035e-05
49053,Washington,2001,9.974625060137075e-05
49053,Washington,2002,0.004003331252933277
49053,Washington,2003,0.012373586276432324
49053,Washington,2004,0.02712016132364963
49053,Washington,2005,0.07450495931470665
49053,Washington,2006,0.05482582217687154
49053,Washington,2007,0.003564887690009741
49053,Washington,2008,6.482211450272925e-05
49053,Washington,2009,0.0055297450591975175
49053,Washington,2010,0.00030870547608127205
49053,Washington,2011,0.0013529726157641745
49053,Washington,2012,0.008610371683403869
49053,Washington,2014,0.0009376262665356671
49053,Washington,2015,0.00036658015780754224
49053,Washington,2016,0.0009666042521540935
49053,Washington,2017,0.00020788406132411427
49053,Washington,2018,0.004864320277434891
49055,Wayne,2002,8.704964439084561e-05
49055,Wayne,2003,6.761807027653602e-05
49055,Wayne,2005,5.001341602016867e-06
49055,Wayne,2007,7.955716332446135e-06
49055,Wayne,2012,0.0008680150012289469
49055,Wayne,2018,8.920838611652733e-05
49057,Weber,2003,0.0002119895675133669
49057,Weber,2007,1.381258428749955e-05
49057,Weber,2016,2.26726057580035e-05
49057,Weber,2018,0.0003278726450143339
50003,Bennington,2013,6.421134466761474e-06
50003,Bennington,2015,1.306202262454327e-06
51003,Albemarle,2016,2.8038297197050977e-05
51005,Alleghany,2008,0.00012689603996860588
51005,Alleghany,2012,0.00805555219776257
51005,Alleghany,2014,3.792561904468627e-05
51009,Amherst,2016,0.004637705841653898
51015,Augusta,2014,0.00020297147367635208
51015,Augusta,2015,1.0850813021379223e-05
51015,Augusta,2016,0.0003028695575530611
51015,Augusta,2018,0.0006136626599255536
51017,Bath,2010,0.00017305440627751444
51017,Bath,2012,0.003326356940977374
51019,Bedford,2008,0.0006139578440774952
51021,Bland,2018,4.977864730320809e-05
51023,Botetourt,2008,6.821118889711027e-07
51023,Botetourt,2012,5.838753052464422e-06
51023,Botetourt,2014,1.6890674839423218e-06
51045,Craig,2008,0.0012210487051756201
51045,Craig,2011,0.0005356750936304389
51045,Craig,2012,0.0027821582429586847
51051,Dickenson,2012,0.0003387084938296484
51079,Greene,2012,1.5951837773423547e-06
51079,Greene,2016,6.2219375351439244e-06
51125,Nelson,2016,0.0002840083638285059
51139,Page,2012,0.002123275900187488
51139,Page,2013,0.00022981556489105114
51139,Page,2019,0.00011909147429284205
51157,Rappahannock,2011,0.0002202620532681832
51157,Rappahannock,2012,1.1166437291555744e-07
51161,Roanoke,2011,4.9420719878235504e-05
51161,Roanoke,2018,6.089790016472888e-05
51163,Rockbridge,2011,2.258346038886232e-05
51163,Rockbridge,2012,0.0014591134388715734
51163,Rockbridge,2013,9.640380177556847e-05
51163,Rockbridge,2017,0.0012664528194263757
51163,Rockbridge,2018,0.0002465079809987822
51165,Rockingham,2011,0.0018667380191236145
51165,Rockingham,2012,0.0005772945861487787
